,Text,cleaned_text,cleaned_text_final,Topic
0,"I absolutly love this modle. It is soooooooo cool. I am a big Smarty Jones fan so this was a must have. It is not really made for playing with, more like on a display shelf. I half a special section for him.","['absolutly', 'love', 'modle', 'soooooooo', 'cool', 'big', 'smarty', 'jones', 'fan', 'must', 'really', 'made', 'playing', 'like', 'display', 'shelf', 'half', 'special', 'section']","['absolutly', 'love', 'modle', 'soooooooo', 'cool', 'big', 'smarty', 'jones', 'fan', 'must', 'really', 'make', 'play', 'like', 'display', 'shelf', 'half', 'special', 'section']",4
1,"I love this parfum spray. I was very pleased at the price as well. This size bottle will last a very long time. This is an older cologne and it is difficult finding it in the store, if not impossible. Yet I found it with no problem on amazon.com. They are so reliable. I will definitely order again and again.Deborah of Tennessee","['love', 'parfum', 'spray', 'pleased', 'price', 'well', 'size', 'bottle', 'last', 'long', 'time', 'older', 'cologne', 'difficult', 'finding', 'store', 'impossible', 'yet', 'found', 'problem', 'amazoncom', 'reliable', 'definitely', 'order', 'againdeborah', 'tennessee']","['love', 'parfum', 'spray', 'pleased', 'price', 'well', 'size', 'bottle', 'last', 'long', 'time', 'old', 'cologne', 'difficult', 'find', 'store', 'impossible', 'yet', 'find', 'problem', 'amazoncom', 'reliable', 'definitely', 'order', 'againdeborah', 'tennessee']",2
2,"We love this collar! It's sturdy, convenient, and beautiful! We've gotten many compliments on it!","['love', 'collar', 'sturdy', 'convenient', 'beautiful', 'weve', 'gotten', 'many', 'compliment']","['love', 'collar', 'sturdy', 'convenient', 'beautiful', 'weve', 'get', 'many', 'compliment']",2
3,"The game that made me the most competitive fool in the world.You can't start studying? Play a game of mastermind! If you win (like I always do), the empowering feeling will unblock the mental barriers and you'll be off. Smart kids grew up on this game. Ha.","['game', 'made', 'competitive', 'fool', 'worldyou', 'cant', 'start', 'studying', 'play', 'game', 'mastermind', 'win', 'like', 'always', 'empowering', 'feeling', 'unblock', 'mental', 'barrier', 'youll', 'smart', 'kid', 'grew', 'game', 'ha']","['game', 'make', 'competitive', 'fool', 'worldyou', 'cant', 'start', 'study', 'play', 'game', 'mastermind', 'win', 'like', 'always', 'empower', 'feel', 'unblock', 'mental', 'barrier', 'youll', 'smart', 'kid', 'grow', 'game', 'ha']",6
4,Got this for my boyfriend after smelling it in Men's Fitness. Love the cologne on him and he loves it too! Not too overbearing but definitely smells great! I would definitely recommend this product.,"['got', 'boyfriend', 'smelling', 'men', 'fitness', 'love', 'cologne', 'love', 'overbearing', 'definitely', 'smell', 'great', 'would', 'definitely', 'recommend', 'product']","['get', 'boyfriend', 'smell', 'men', 'fitness', 'love', 'cologne', 'love', 'overbear', 'definitely', 'smell', 'great', 'would', 'definitely', 'recommend', 'product']",2
5,It's not messy and seems to kill the fleas. I use it on furniture and on the carpet and it works well. The inverted feature is the best.,"['messy', 'seems', 'kill', 'flea', 'use', 'furniture', 'carpet', 'work', 'well', 'inverted', 'feature', 'best']","['messy', 'seem', 'kill', 'flea', 'use', 'furniture', 'carpet', 'work', 'well', 'inverted', 'feature', 'best']",3
6,We bought our daughter the Leapster system for Christmas and purchased the charger to go with it to save money on batteries. It takes a few hours to charge it for 10 hours of play according to the directions...personally I think it lasts much longer than that. The only problem is you kind of have to wiggle the leapster on the charger to get the green light to come on. My 5 year old has figured out how to do this so it's not difficult. Other than that I think it's a great accessory.,"['bought', 'daughter', 'leapster', 'system', 'christmas', 'purchased', 'charger', 'go', 'save', 'money', 'battery', 'take', 'hour', 'charge', 'hour', 'play', 'according', 'directionspersonally', 'think', 'last', 'much', 'longer', 'problem', 'kind', 'wiggle', 'leapster', 'charger', 'get', 'green', 'light', 'come', 'year', 'old', 'figured', 'difficult', 'think', 'great', 'accessory']","['buy', 'daughter', 'leapster', 'system', 'christmas', 'purchase', 'charger', 'go', 'save', 'money', 'battery', 'take', 'hour', 'charge', 'hour', 'play', 'accord', 'directionspersonally', 'think', 'last', 'much', 'longer', 'problem', 'kind', 'wiggle', 'leapster', 'charger', 'get', 'green', 'light', 'come', 'year', 'old', 'figure', 'difficult', 'think', 'great', 'accessory']",0
7,"Not what we were looking for. We wanted a party game for older 20's and thirty somethings. I would say this game would be good for Jr. High. The ""hosts"" inside the box are super annoying and cheesy. The cards were really pretty easy compared to some of the other games we played. My sister got this game as a gift, we tried it once and she decided to return it. Like I said, I can see jr. high kids maybe getting into this, but otherwise, it was pretty lame.","['looking', 'wanted', 'party', 'game', 'older', 'thirty', 'somethings', 'would', 'say', 'game', 'would', 'good', 'jr', 'high', 'host', 'inside', 'box', 'super', 'annoying', 'cheesy', 'card', 'really', 'pretty', 'easy', 'compared', 'game', 'played', 'sister', 'got', 'game', 'gift', 'tried', 'decided', 'return', 'like', 'said', 'see', 'jr', 'high', 'kid', 'maybe', 'getting', 'otherwise', 'pretty', 'lame']","['look', 'want', 'party', 'game', 'old', 'thirty', 'somethings', 'would', 'say', 'game', 'would', 'good', 'jr', 'high', 'host', 'inside', 'box', 'super', 'annoy', 'cheesy', 'card', 'really', 'pretty', 'easy', 'compare', 'game', 'play', 'sister', 'get', 'game', 'gift', 'try', 'decided', 'return', 'like', 'say', 'see', 'jr', 'high', 'kid', 'maybe', 'get', 'otherwise', 'pretty', 'lame']",6
8,"I have used many of the different shampoos for dandruff.NONE of the Head & Shoulder shampoos or Selsun Blues work. Tea Tree oil sort of helped. Sebulex sort of worked. And regular strength coal tar shampoos (.5%) sort of work.Prescription shampoos never worked for me.This stuff works. Really well. I have gone back to using other stuff and after a few days, the flakes are back.And if you follow it up with a H&S; conditioner, your hair won't stink like that weird smelling shampoo.It does smell weird, but with the conditioner, no problem.And I never flake anymore. Ever.","['used', 'many', 'different', 'shampoo', 'dandruffnone', 'head', 'shoulder', 'shampoo', 'selsun', 'blue', 'work', 'tea', 'tree', 'oil', 'sort', 'helped', 'sebulex', 'sort', 'worked', 'regular', 'strength', 'coal', 'tar', 'shampoo', 'sort', 'workprescription', 'shampoo', 'never', 'worked', 'methis', 'stuff', 'work', 'really', 'well', 'gone', 'back', 'using', 'stuff', 'day', 'flake', 'backand', 'follow', 'h', 'conditioner', 'hair', 'wont', 'stink', 'like', 'weird', 'smelling', 'shampooit', 'smell', 'weird', 'conditioner', 'problemand', 'never', 'flake', 'anymore', 'ever']","['use', 'many', 'different', 'shampoo', 'dandruffnone', 'head', 'shoulder', 'shampoo', 'selsun', 'blue', 'work', 'tea', 'tree', 'oil', 'sort', 'help', 'sebulex', 'sort', 'work', 'regular', 'strength', 'coal', 'tar', 'shampoo', 'sort', 'workprescription', 'shampoo', 'never', 'work', 'methis', 'stuff', 'work', 'really', 'well', 'go', 'back', 'use', 'stuff', 'day', 'flake', 'backand', 'follow', 'h', 'conditioner', 'hair', 'wont', 'stink', 'like', 'weird', 'smell', 'shampooit', 'smell', 'weird', 'conditioner', 'problemand', 'never', 'flake', 'anymore', 'ever']",2
9,"This is a really great scent, but it could of been better. I think it misses that extra zing you get when you test it on animals. I mean seriously, animals want to smell nice too.","['really', 'great', 'scent', 'could', 'better', 'think', 'miss', 'extra', 'zing', 'get', 'test', 'animal', 'mean', 'seriously', 'animal', 'want', 'smell', 'nice']","['really', 'great', 'scent', 'could', 'better', 'think', 'miss', 'extra', 'zing', 'get', 'test', 'animal', 'mean', 'seriously', 'animal', 'want', 'smell', 'nice']",2
10,Gave as a gift and owner said her dog loves this....takes it everywhere and it is very sturdy!,"['gave', 'gift', 'owner', 'said', 'dog', 'love', 'thistakes', 'everywhere', 'sturdy']","['give', 'gift', 'owner', 'say', 'dog', 'love', 'thistakes', 'everywhere', 'sturdy']",4
11,"My only take about this cologne is that it is too strong.. I don't know how one of the reviewers before me reached the conclusion that it can be hardly detected. I would recommend spraying it only once and I guarantee you would still smell it at the end of the day. Being strong as it is, I think it is more suitable for winter unless you live in an air-conditioned environment. I own this cologne in addition to Hugo Boss, Aqua de Gio by Armani, Addias Adrenaline. This, in addition to the Hugo boss and the aqua de Gio are equally my favorites.","['take', 'cologne', 'strong', 'dont', 'know', 'one', 'reviewer', 'reached', 'conclusion', 'hardly', 'detected', 'would', 'recommend', 'spraying', 'guarantee', 'would', 'still', 'smell', 'end', 'day', 'strong', 'think', 'suitable', 'winter', 'unless', 'live', 'airconditioned', 'environment', 'cologne', 'addition', 'hugo', 'bos', 'aqua', 'de', 'gio', 'armani', 'addias', 'adrenaline', 'addition', 'hugo', 'bos', 'aqua', 'de', 'gio', 'equally', 'favorite']","['take', 'cologne', 'strong', 'dont', 'know', 'one', 'reviewer', 'reach', 'conclusion', 'hardly', 'detect', 'would', 'recommend', 'spray', 'guarantee', 'would', 'still', 'smell', 'end', 'day', 'strong', 'think', 'suitable', 'winter', 'unless', 'live', 'airconditioned', 'environment', 'cologne', 'addition', 'hugo', 'bos', 'aqua', 'de', 'gio', 'armani', 'addias', 'adrenaline', 'addition', 'hugo', 'bos', 'aqua', 'de', 'gio', 'equally', 'favorite']",2
12,"Although this food does have good quality ingredients, my German Shepherd never really had any solid stools while on it. While switching him to this food, he had diarrhea even though I switched him over VERY slowly. I still stayed with the food thinking that the diarrhea had to do with switching the main meat component from lamb to chicken. After three months on it though, his stools are still mostly runny. I have since change to the Taste of the Wild which he actually love to eat (it smells pretty good too) and his stools are improving. This does not mean that Blue Buffalo is not a good choice for your dog. Rather I would try it out and see how your dog does on it. If you find that their stools are not improving then switch.","['although', 'food', 'good', 'quality', 'ingredient', 'german', 'shepherd', 'never', 'really', 'solid', 'stool', 'switching', 'food', 'diarrhea', 'even', 'though', 'switched', 'slowly', 'still', 'stayed', 'food', 'thinking', 'diarrhea', 'switching', 'main', 'meat', 'component', 'lamb', 'chicken', 'three', 'month', 'though', 'stool', 'still', 'mostly', 'runny', 'since', 'change', 'taste', 'wild', 'actually', 'love', 'eat', 'smell', 'pretty', 'good', 'stool', 'improving', 'mean', 'blue', 'buffalo', 'good', 'choice', 'dog', 'rather', 'would', 'try', 'see', 'dog', 'find', 'stool', 'improving', 'switch']","['although', 'food', 'good', 'quality', 'ingredient', 'german', 'shepherd', 'never', 'really', 'solid', 'stool', 'switch', 'food', 'diarrhea', 'even', 'though', 'switch', 'slowly', 'still', 'stay', 'food', 'think', 'diarrhea', 'switch', 'main', 'meat', 'component', 'lamb', 'chicken', 'three', 'month', 'though', 'stool', 'still', 'mostly', 'runny', 'since', 'change', 'taste', 'wild', 'actually', 'love', 'eat', 'smell', 'pretty', 'good', 'stool', 'improve', 'mean', 'blue', 'buffalo', 'good', 'choice', 'dog', 'rather', 'would', 'try', 'see', 'dog', 'find', 'stool', 'improve', 'switch']",4
13,This works just as described. I had no trouble putting it together and my cats are already using it more than their old boxes. It's so easy. Honestly can't imagine why we ever did it any other way.,"['work', 'described', 'trouble', 'putting', 'together', 'cat', 'already', 'using', 'old', 'box', 'easy', 'honestly', 'cant', 'imagine', 'ever', 'way']","['work', 'describe', 'trouble', 'put', 'together', 'cat', 'already', 'use', 'old', 'box', 'easy', 'honestly', 'cant', 'imagine', 'ever', 'way']",3
14,Not a believer at first but it surprised me I'm buying again that's all you need to know if you want to get rid of your dandruff. Get this!!,"['believer', 'first', 'surprised', 'im', 'buying', 'thats', 'need', 'know', 'want', 'get', 'rid', 'dandruff', 'get']","['believer', 'first', 'surprise', 'im', 'buying', 'thats', 'need', 'know', 'want', 'get', 'rid', 'dandruff', 'get']",2
15,"I bought this curling iron simply because I wanted try a cermaic iron and because it's made from helen of Troy, which is a manafacturer of many professional styling tools. My normal curling iron is the Conair Instant Heat series. I gave this iron 3 star because I find that it doesn't heat up or get as hot as the Conair instant heat --and as far as less frizz and flyaway...well, it's about the same as the Conair Instant Heat (which is chrome barrel). I returned it and bought the Conair Ceramic curling iron, and yup the Conair one is certainly hotter (95W Conair vs 80W Revlon) which means it takes less time for me to get a curl :D","['bought', 'curling', 'iron', 'simply', 'wanted', 'try', 'cermaic', 'iron', 'made', 'helen', 'troy', 'manafacturer', 'many', 'professional', 'styling', 'tool', 'normal', 'curling', 'iron', 'conair', 'instant', 'heat', 'series', 'gave', 'iron', 'star', 'find', 'doesnt', 'heat', 'get', 'hot', 'conair', 'instant', 'heat', 'far', 'le', 'frizz', 'flyawaywell', 'conair', 'instant', 'heat', 'chrome', 'barrel', 'returned', 'bought', 'conair', 'ceramic', 'curling', 'iron', 'yup', 'conair', 'one', 'certainly', 'hotter', 'w', 'conair', 'v', 'w', 'revlon', 'mean', 'take', 'le', 'time', 'get', 'curl']","['buy', 'curl', 'iron', 'simply', 'want', 'try', 'cermaic', 'iron', 'make', 'helen', 'troy', 'manafacturer', 'many', 'professional', 'style', 'tool', 'normal', 'curl', 'iron', 'conair', 'instant', 'heat', 'series', 'give', 'iron', 'star', 'find', 'doesnt', 'heat', 'get', 'hot', 'conair', 'instant', 'heat', 'far', 'le', 'frizz', 'flyawaywell', 'conair', 'instant', 'heat', 'chrome', 'barrel', 'return', 'bought', 'conair', 'ceramic', 'curling', 'iron', 'yup', 'conair', 'one', 'certainly', 'hotter', 'w', 'conair', 'v', 'w', 'revlon', 'mean', 'take', 'le', 'time', 'get', 'curl']",2
16,"These clippers are very quiet. They did not stress out my dog. They did not pinch, pull or bind up. I am very glad I purchased them. The price is good for what you get. They are worth it.","['clipper', 'quiet', 'stress', 'dog', 'pinch', 'pull', 'bind', 'glad', 'purchased', 'price', 'good', 'get', 'worth']","['clipper', 'quiet', 'stress', 'dog', 'pinch', 'pull', 'bind', 'glad', 'purchase', 'price', 'good', 'get', 'worth']",4
17,"Seems to be working well, keeps my puppy safe--He wants to be up where he can see out and he is. He tried to get out the first few times but it does snap onto his harness so he couldn't get completely out of it. I just wish it would support more than 30 lbs. He's a lab and will outgrow quickly.","['seems', 'working', 'well', 'keep', 'puppy', 'safehe', 'want', 'see', 'tried', 'get', 'first', 'time', 'snap', 'onto', 'harness', 'couldnt', 'get', 'completely', 'wish', 'would', 'support', 'lb', 'he', 'lab', 'outgrow', 'quickly']","['seem', 'work', 'well', 'keep', 'puppy', 'safehe', 'want', 'see', 'tried', 'get', 'first', 'time', 'snap', 'onto', 'harness', 'couldnt', 'get', 'completely', 'wish', 'would', 'support', 'lb', 'lab', 'outgrow', 'quickly']",4
18,"Our puppy can become very excited on walks when meeting other dogs or people. It has kept her from pulling while training her to walk properly and if she does get excited, it restrains her without choking her and straining her neck. It's very easy to adjust and put on her and has held up well for us.","['puppy', 'become', 'excited', 'walk', 'meeting', 'dog', 'people', 'kept', 'pulling', 'training', 'walk', 'properly', 'get', 'excited', 'restrains', 'without', 'choking', 'straining', 'neck', 'easy', 'adjust', 'put', 'held', 'well', 'u']","['puppy', 'become', 'excite', 'walk', 'meeting', 'dog', 'people', 'keep', 'pull', 'training', 'walk', 'properly', 'get', 'excited', 'restrains', 'without', 'choke', 'strain', 'neck', 'easy', 'adjust', 'put', 'hold', 'well', 'u']",4
19,I purchased this container after I bought the larger one [80 pounds] for his food. This was bought to house all of his treats and keep them safe from any and all animal teeth. I stack it on top of his larger container instead of having the bags on the top shelf on my rack in the kitchen. I had a mouse who feasted on the treats daily. Now it's dead from starvation. The lid is perfect and so is the size. I recommend this to all animal lovers and pet owners the world over. Worth every penny. Thanks Amazon.Com!,"['purchased', 'container', 'bought', 'larger', 'one', 'pound', 'food', 'bought', 'house', 'treat', 'keep', 'safe', 'animal', 'teeth', 'stack', 'top', 'larger', 'container', 'instead', 'bag', 'top', 'shelf', 'rack', 'kitchen', 'mouse', 'feasted', 'treat', 'daily', 'dead', 'starvation', 'lid', 'perfect', 'size', 'recommend', 'animal', 'lover', 'pet', 'owner', 'world', 'worth', 'every', 'penny', 'thanks', 'amazoncom']","['purchase', 'container', 'buy', 'large', 'one', 'pound', 'food', 'buy', 'house', 'treat', 'keep', 'safe', 'animal', 'teeth', 'stack', 'top', 'large', 'container', 'instead', 'bag', 'top', 'shelf', 'rack', 'kitchen', 'mouse', 'feast', 'treat', 'daily', 'dead', 'starvation', 'lid', 'perfect', 'size', 'recommend', 'animal', 'lover', 'pet', 'owner', 'world', 'worth', 'every', 'penny', 'thanks', 'amazoncom']",4
20,"Our baby, Ruby, loves this toy. She loves to do a ""drive by"" which is running by and swatting at it . . . so cute!","['baby', 'ruby', 'love', 'toy', 'love', 'drive', 'running', 'swatting', 'cute']","['baby', 'ruby', 'love', 'toy', 'love', 'drive', 'run', 'swat', 'cute']",0
21,"Since I'm a woman, it seems like any time anyone doesn't know what to get me, they resort to body sprays and lotions because all women are supposed to like those, I think. As a result of that, I have years' worth of body sprays sitting around and going bad because I just don't like them. But this one is different.This smells more like the stem and leaves of the tomato plant, so it's an earthy yet refreshing scent. I always get questions and compliments about this spray. I love that it's not flowery or fruity. It's probably not something a super girly-girl would like, but for someone who doesn't like the usual scents, this is perfect.","['since', 'im', 'woman', 'seems', 'like', 'time', 'anyone', 'doesnt', 'know', 'get', 'resort', 'body', 'spray', 'lotion', 'woman', 'supposed', 'like', 'think', 'result', 'year', 'worth', 'body', 'spray', 'sitting', 'around', 'going', 'bad', 'dont', 'like', 'one', 'differentthis', 'smell', 'like', 'stem', 'leaf', 'tomato', 'plant', 'earthy', 'yet', 'refreshing', 'scent', 'always', 'get', 'question', 'compliment', 'spray', 'love', 'flowery', 'fruity', 'probably', 'something', 'super', 'girlygirl', 'would', 'like', 'someone', 'doesnt', 'like', 'usual', 'scent', 'perfect']","['since', 'im', 'woman', 'seem', 'like', 'time', 'anyone', 'doesnt', 'know', 'get', 'resort', 'body', 'spray', 'lotion', 'woman', 'suppose', 'like', 'think', 'result', 'year', 'worth', 'body', 'spray', 'sit', 'around', 'go', 'bad', 'dont', 'like', 'one', 'differentthis', 'smell', 'like', 'stem', 'leaf', 'tomato', 'plant', 'earthy', 'yet', 'refresh', 'scent', 'always', 'get', 'question', 'compliment', 'spray', 'love', 'flowery', 'fruity', 'probably', 'something', 'super', 'girlygirl', 'would', 'like', 'someone', 'doesnt', 'like', 'usual', 'scent', 'perfect']",2
22,"I have been using Stuff-a-Ball toys for years. They're durable, and can entertain dogs for hours if properly stuffed. We have a variety of small and/or breakable dog treats that can be crammed inside. The more it's stuffed, the longer it will last as your dog chews on the pliable rubber--it's good for their gums, too! Read the packaging to make sure you order the right size for your dog.","['using', 'stuffaball', 'toy', 'year', 'theyre', 'durable', 'entertain', 'dog', 'hour', 'properly', 'stuffed', 'variety', 'small', 'andor', 'breakable', 'dog', 'treat', 'crammed', 'inside', 'stuffed', 'longer', 'last', 'dog', 'chew', 'pliable', 'rubberits', 'good', 'gum', 'read', 'packaging', 'make', 'sure', 'order', 'right', 'size', 'dog']","['use', 'stuffaball', 'toy', 'year', 'theyre', 'durable', 'entertain', 'dog', 'hour', 'properly', 'stuff', 'variety', 'small', 'andor', 'breakable', 'dog', 'treat', 'cram', 'inside', 'stuffed', 'longer', 'last', 'dog', 'chew', 'pliable', 'rubberits', 'good', 'gum', 'read', 'package', 'make', 'sure', 'order', 'right', 'size', 'dog']",4
